;source;target;type;value;label
0;2;6;same_authors;3.333333333333333;['Zhang, Guangquan', 'Lu, Jie']
1;2;46;same_authors;3.333333333333333;['Zhang, Guangquan', 'Lu, Jie']
2;2;69;same_authors;1.6666666666666665;['Lu, Jie']
3;2;113;same_authors;1.25;['Wang, Wei']
4;3;17;same_authors;4.0;['Martínez, Luis', 'Yera, Raciel']
5;3;36;same_authors;7.5;['Martínez, Luis', 'Alzahrani, Ahmad A.', 'Yera, Raciel']
6;3;50;same_authors;4.0;['Martínez, Luis', 'Yera, Raciel']
7;6;17;same_authors;1.4285714285714284;['Castro, Jorge']
8;6;46;same_authors;2.5;['Zhang, Guangquan', 'Lu, Jie']
9;6;50;same_authors;1.4285714285714284;['Castro, Jorge']
10;6;69;same_authors;1.25;['Lu, Jie']
11;8;121;same_authors;10.0;['Sacharidis, Dimitris']
12;10;12;same_authors;8.0;['Qi, Shuyao', 'Mamoulis, Nikos', 'Pitoura, Evaggelia', 'Tsaparas, Panayiotis']
13;10;63;same_authors;1.6666666666666665;['Pitoura, Evaggelia']
14;10;93;same_authors;1.4285714285714284;['Pitoura, Evaggelia']
15;12;63;same_authors;1.4285714285714284;['Pitoura, Evaggelia']
16;12;93;same_authors;1.25;['Pitoura, Evaggelia']
17;14;70;same_authors;10.0;['Wang, Danli', 'Zheng, Nan', 'Zhang, Song']
18;15;73;same_authors;4.0;['Yu, Li', 'Leng, Youfang']
19;15;77;same_authors;6.666666666666666;['Yu, Li', 'Leng, Youfang']
20;16;102;same_authors;1.4285714285714284;['Schiaffino, Silvia']
21;17;36;same_authors;5.0;['Martínez, Luis', 'Yera, Raciel']
22;17;50;same_authors;10.0;['Castro, Jorge', 'Martínez, Luis', 'Yera, Raciel']
23;22;115;same_authors;2.5;['Minz, Sonajharia']
24;27;29;same_authors;1.1111111111111112;['Huang, Zhenhua']
25;27;53;same_authors;1.6666666666666665;['Chen, Yunwen', 'Huang, Zhenhua']
26;29;53;same_authors;2.0;['Xu, Xin', 'Huang, Zhenhua']
27;30;44;same_authors;1.25;['Guo, Junpeng']
28;31;82;same_authors;2.2222222222222223;['Yin, Hongzhi', 'Zheng, Kai']
29;31;83;same_authors;0.9090909090909092;['Yin, Hongzhi']
30;31;84;same_authors;0.9090909090909092;['Yin, Hongzhi']
31;31;94;same_authors;1.1111111111111112;['Yin, Hongzhi']
32;31;108;same_authors;2.0;['Wang, Qinyong', 'Yin, Hongzhi']
33;31;111;same_authors;8.333333333333334;['Zheng, Kai', 'Wang, Qinyong', 'Zhou, Xiaofang', 'Yin, Hongzhi', 'Li, Zhixu']
34;36;50;same_authors;5.0;['Martínez, Luis', 'Yera, Raciel']
35;37;92;same_authors;10.0;['Sisodia, Dilip Singh', 'Pujahari, Abinash']
36;38;40;same_authors;1.1111111111111112;['Guo, Zhiwei']
37;38;113;same_authors;2.0;['Guo, Zhiwei', 'Yu, Keping']
38;40;113;same_authors;2.5;['Shen, Yu', 'Guo, Zhiwei']
39;46;69;same_authors;1.25;['Lu, Jie']
40;47;78;same_authors;1.0;['Xu, Guandong']
41;47;97;same_authors;1.0;['Xu, Guandong']
42;48;75;same_authors;2.0;['Chowdary, C. Ravindranath']
43;48;129;same_authors;2.5;['Chowdary, C. Ravindranath']
44;53;105;same_authors;0.7142857142857142;['Zhang, Bo']
45;54;61;same_authors;3.333333333333333;['Peska, Ladislav']
46;54;88;same_authors;3.333333333333333;['Peska, Ladislav']
47;55;67;same_authors;1.0;['Tintarev, Nava']
48;61;88;same_authors;10.0;['Peska, Ladislav', 'Dokoupil, Patrik']
49;63;93;same_authors;7.5;['Pitoura, Evaggelia', 'Stratigi, Maria', 'Stefanidis, Kostas']
50;63;134;same_authors;2.0;['Stefanidis, Kostas']
51;65;95;same_authors;6.666666666666666;['Taleai, Mohammad', 'Bahari Sojahrood, Zahra']
52;65;99;same_authors;6.666666666666666;['Taleai, Mohammad', 'Bahari Sojahrood, Zahra']
53;69;89;same_authors;7.5;['Zhang, Qian', 'Wang, Jianqiang', 'Liang, Ruxia']
54;73;77;same_authors;5.0;['Yu, Li', 'Leng, Youfang']
55;75;129;same_authors;2.5;['Chowdary, C. Ravindranath']
56;78;97;same_authors;6.666666666666666;['Xu, Guandong', 'Wang, Ru', 'Wang, Peipei', 'Li, Lin']
57;82;83;same_authors;2.2222222222222223;['Yin, Hongzhi', 'Chen, Tong']
58;82;84;same_authors;2.2222222222222223;['Guo, Lei', 'Yin, Hongzhi']
59;82;94;same_authors;1.25;['Yin, Hongzhi']
60;82;108;same_authors;2.2222222222222223;['Guo, Lei', 'Yin, Hongzhi']
61;82;111;same_authors;2.5;['Yin, Hongzhi', 'Zheng, Kai']
62;83;84;same_authors;0.9090909090909092;['Yin, Hongzhi']
63;83;94;same_authors;1.1111111111111112;['Yin, Hongzhi']
64;83;108;same_authors;0.9090909090909092;['Yin, Hongzhi']
65;83;111;same_authors;1.0;['Yin, Hongzhi']
66;84;94;same_authors;1.1111111111111112;['Yin, Hongzhi']
67;84;108;same_authors;2.0;['Guo, Lei', 'Yin, Hongzhi']
68;84;111;same_authors;1.0;['Yin, Hongzhi']
69;93;134;same_authors;1.6666666666666665;['Stefanidis, Kostas']
70;94;108;same_authors;1.1111111111111112;['Yin, Hongzhi']
71;94;111;same_authors;1.25;['Yin, Hongzhi']
72;95;99;same_authors;10.0;['Taleai, Mohammad', 'Bahari Sojahrood, Zahra']
73;96;124;same_authors;8.0;['Du, Yulu', 'Meng, Xiangwu', 'Zhang, Yujie', 'Lv, Pengtao']
74;96;125;same_authors;6.0;['Du, Yulu', 'Meng, Xiangwu', 'Zhang, Yujie']
75;98;136;same_authors;6.666666666666666;['Kim, Myoung Ho', 'Jeong, Hyun Ji']
76;103;128;same_authors;7.5;['Chow, Chi-Yin', 'He, Zhixiang', 'Zhang, Jia-Dong']
77;104;105;same_authors;0.8333333333333333;['Zhang, Wei']
78;108;111;same_authors;2.2222222222222223;['Wang, Qinyong', 'Yin, Hongzhi']
79;112;135;same_authors;1.6666666666666665;['Wang, Lei']
80;115;131;same_authors;6.666666666666666;['Bharadwaj, K. K.', 'Choudhary, Nirmal']
81;118;127;same_authors;2.0;['Wang, Haiyan']
82;124;125;same_authors;7.5;['Du, Yulu', 'Meng, Xiangwu', 'Zhang, Yujie']
